# Lindstrom Triangulation
# disp_scale=1.000000, disp_offset=0.000000mm
# anchor_mode=0, anchor_threshold=30.000000mm
# id x_orig y_orig z_orig x_target y_target z_target movement_mm is_anchor
4 0.125000 4.375000 -0.463040 0.120298 4.396848 -0.467702 22.828987 0
6 0.375000 4.531900 -0.625000 0.378390 4.591682 -0.634090 60.564341 0
10 0.125000 4.625000 -0.464395 0.122198 4.640251 -0.467355 15.786358 0
26 0.375000 5.625000 -0.426047 0.377654 5.614169 -0.424060 11.327426 0
33 0.278003 5.875000 -0.375000 0.277020 5.883733 -0.376252 8.876475 0
34 0.125000 5.630710 -0.375000 0.125467 5.625827 -0.374710 4.913904 0
38 0.250181 6.125000 -0.375000 0.248059 6.129572 -0.376448 5.244098 0
41 0.215762 6.375000 -0.375000 0.227687 6.348021 -0.368854 30.130934 0
46 0.215762 6.375000 -0.375000 0.227687 6.348021 -0.368854 30.130934 0
58 0.138950 6.875000 -0.375000 0.141269 6.867203 -0.374039 8.190743 0
59 0.375000 7.125000 -0.347036 0.376946 7.116414 -0.346062 8.857279 0
60 0.125000 7.125000 -0.341593 0.121477 7.142777 -0.343481 18.220464 0
67 0.375000 7.375000 -0.280209 0.376280 7.407999 -0.281665 33.055442 0
72 0.375000 7.625000 -0.171567 0.375236 7.612009 -0.171200 12.998086 0
73 0.125000 7.625000 -0.290784 0.128249 7.611712 -0.289650 13.726635 0
75 0.232536 7.875000 -0.125000 0.233517 7.872368 -0.124880 2.811119 0
76 0.125000 7.875000 -0.203423 0.125209 7.877301 -0.203493 2.311267 0
83 0.442139 4.625000 -0.625000 0.444511 4.650215 -0.628654 25.588591 0
88 0.625000 4.875000 -0.618671 0.620864 4.828108 -0.612216 47.514966 0
92 0.625000 5.125000 -0.529666 0.626088 5.124361 -0.529387 1.292411 0
107 0.625000 6.584480 -0.375000 0.632361 6.571501 -0.369877 15.775672 0
109 0.625000 6.625000 -0.367606 0.627024 6.624122 -0.366621 2.416050 0
113 0.625000 6.875000 -0.308207 0.628506 6.864169 -0.306074 11.582623 0
122 0.625000 7.125000 -0.213583 0.624666 7.133832 -0.214306 8.867483 0
125 0.625000 7.252230 -0.125000 0.625508 7.210821 -0.123854 41.427970 0
126 0.550848 7.375000 -0.125000 0.553117 7.348625 -0.124033 26.489889 0
134 0.550848 7.375000 -0.125000 0.553117 7.348625 -0.124033 26.489889 0
167 0.875000 6.375000 -0.436440 0.875313 6.417425 -0.443436 42.999590 0
171 0.875000 6.625000 -0.380596 0.884817 6.578150 -0.366276 49.964011 0
172 0.773348 6.625000 -0.375000 0.775853 6.609244 -0.371630 16.306543 0
174 0.875000 6.649640 -0.375000 0.883384 6.597836 -0.361145 54.275740 0
175 0.875000 6.875000 -0.307928 0.876086 6.879176 -0.308155 4.321148 0
179 0.875000 7.125000 -0.165555 0.879450 7.093049 -0.162287 32.424161 0
185 0.875000 7.177450 -0.125000 0.876243 7.169193 -0.124465 8.367040 0
197 1.125000 5.125000 -0.434619 1.127218 5.136263 -0.437440 11.820997 0
204 1.125000 6.746570 -0.375000 1.132534 6.702143 -0.358631 47.942723 0
205 1.125000 6.875000 -0.342057 1.124034 6.879603 -0.344378 5.244602 0
206 1.125000 7.125000 -0.228968 1.125647 7.132252 -0.229917 7.342137 0
208 1.125000 7.284430 -0.125000 1.125120 7.272106 -0.124089 12.358606 0
216 1.375000 5.125000 -0.407202 1.342841 5.071828 -0.372216 71.312320 0
217 1.375000 5.375000 -0.394940 1.352163 5.325303 -0.369763 60.209644 0
218 1.375000 5.625000 -0.395038 1.354958 5.580054 -0.365023 57.643068 0
219 1.375000 5.875000 -0.394154 1.358919 5.825615 -0.363245 60.438785 0
224 1.201830 6.875000 -0.375000 1.202943 6.855116 -0.369305 20.713489 0
226 1.328330 7.125000 -0.375000 1.328455 7.130634 -0.376988 5.975888 0
